family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,n_events_tr_va,realized_cost_bps,gross_edge_bps,base_tool,threshold,k
2-bos,k8 choch eqfilt=False tgt3x hold5d,1h,3.5760385794979297,10.72811573849379,120,198,1.8271401098102182,36.36363636363637,3.6177374174242383,-64.80985053805483,64,40.65193202369102,42.1875,26.017236495162255,-30.484645515033215,67.5,70.0381679389313,SURVIVOR,1025,,,,,
2-bos,k8 choch eqfilt=False tgt3x hold15d,1h,3.5760385794979297,10.72811573849379,360,83,-26.36902641357963,30.120481927710845,-21.886291923271095,-40.756509795257024,27,13.228840147668961,29.629629629629626,3.5717868398706276,-20.33779683961568,61.0,113.25454545454545,FAIL,1025,,,,,
2-bos,k5 cont eqfilt=False tgt2x hold5d,4h,5.913442673046944,11.826885346093889,120,135,71.99920157323113,45.18518518518518,97.19892212386203,-50.13371934914696,42,-107.98466094677666,40.476190476190474,-45.3535575976462,-52.917408800046694,120.0,87.34463276836158,FAIL,315,,,,,
2-bos,k5 cont eqfilt=False tgt2x hold15d,4h,5.913442673046944,11.826885346093889,360,66,-18.443921329150204,36.36363636363637,-12.172988077239133,-50.86998012575803,23,-115.65150661727911,34.78260869565217,-26.59984652197419,-41.178871515455725,108.0,160.22471910112358,FAIL,315,,,,,
2-bos,k5 cont eqfilt=False tgt3x hold5d,4h,5.913442673046944,17.740328019140833,120,135,160.93245233710692,45.18518518518518,217.25881065509435,-47.493052011196504,42,-105.86436882737479,40.476190476190474,-44.46303490749741,-52.91740880004647,120.0,93.08474576271186,FAIL,315,,,,,
2-bos,k5 cont eqfilt=False tgt3x hold15d,4h,5.913442673046944,17.740328019140833,360,66,88.91345755650984,36.36363636363637,58.6828819872965,-49.52877059126149,23,-71.91720946341893,34.78260869565217,-16.54095817658635,-41.17887151545547,144.0,186.8314606741573,FAIL,315,,,,,
2-bos,k5 choch eqfilt=False tgt2x hold5d,4h,5.637348386604623,11.274696773209246,120,128,-47.372717799012804,39.84375,-60.63707878273639,-66.9473288812383,48,262.39931521987927,66.66666666666666,125.95167130554205,-14.24248034556857,120.0,90.81818181818181,FAIL,329,,,,,
2-bos,k5 choch eqfilt=False tgt2x hold15d,4h,5.637348386604623,11.274696773209246,360,65,-108.02958263503331,24.615384615384617,-70.21922871277164,-73.51538245687995,24,-163.62987405542606,25.0,-39.27116977330225,-47.57078074510222,104.0,154.74157303370785,FAIL,329,,,,,
2-bos,k5 choch eqfilt=False tgt3x hold5d,4h,5.637348386604623,16.91204515981387,120,128,-52.095766396714396,39.0625,-66.68258098779442,-73.49020308752962,48,311.2635554238256,66.66666666666666,149.4065066034363,-14.242480345568545,120.0,94.56818181818181,FAIL,329,,,,,
2-bos,k5 choch eqfilt=False tgt3x hold15d,4h,5.637348386604623,16.91204515981387,360,65,-102.13585360006462,23.076923076923077,-66.388304840042,-74.43761703552482,24,-161.59263593032162,25.0,-38.78223262327719,-45.863286072189105,120.0,167.2808988764045,FAIL,329,,,,,
2-bos,k8 cont eqfilt=False tgt2x hold5d,4h,6.0,12.0,120,98,38.71747500912513,45.91836734693878,37.94312550894263,-31.65443376495485,33,-84.4354844384327,42.42424242424242,-27.863709864682782,-34.0016635125885,108.0,85.95419847328245,FAIL,210,,,,,
