pair,session,entry_t,exit_t,side,outcome,r,pnl,cost,stop_move_in_price_pct,face_value_times_account,hours_held,moved_to_breakeven
DOT/USD,london,2025-08-27 11:00:00,2025-08-27 13:00:00,short,stopped out,-1.0,-5215.449869843735,1874.6035282505736,0.4307993206032214,6.963799283154131,2.0,False
DOT/USD,london,2025-08-28 17:00:00,2025-08-29 06:00:00,long,break even,0.0,-1088.443975837089,1088.443975837089,0.7072079502008495,4.242033759869342,13.0,True
DOT/USD,new_york,2025-09-06 16:00:00,2025-09-06 23:00:00,short,stopped out,-1.0,-5692.660767178343,2540.931240955607,0.29983613149825455,10.005465268676147,7.0,False
DOT/USD,london,2025-09-07 03:00:00,2025-09-07 12:00:00,short,stopped out,-1.0,-4565.5164859337365,1413.7869597110002,0.5388810446001885,5.567091346153745,9.0,False
DOT/USD,new_york,2025-09-08 19:00:00,2025-09-09 02:00:00,long,break even,0.0,-1072.3766399194922,1072.3766399194922,0.6410734252702156,4.67965116279073,7.0,True
DOT/USD,asia,2025-09-28 16:00:00,2025-09-28 19:00:00,short,stopped out,-1.0,-4247.559602566663,1435.7466931348738,0.47340902655469186,6.337014783670198,3.0,False
DOT/USD,asia,2025-10-07 06:00:00,2025-10-07 08:00:00,long,stopped out,-1.0,-3301.3406294812817,616.9545081264923,1.0517675836860267,2.8523411888073156,2.0,False
DOT/USD,asia,2025-11-08 06:00:00,2025-11-09 13:00:00,long,stopped out,-1.0,-2745.646916385737,160.30101391538605,3.898614793196531,0.7695040826386074,31.0,False
DOT/USD,asia,2025-11-13 03:00:00,2025-11-13 05:00:00,long,target,4.0,9348.112938808034,663.7930411070813,0.9114902231455423,3.2913134160090434,2.0,True
DOT/USD,london,2025-11-13 13:00:00,2025-11-13 14:00:00,short,stopped out,-1.0,-4108.703019640385,1325.2831364973647,0.5076892785428887,5.909126165930182,1.0,False
DOT/USD,asia,2025-11-28 08:00:00,2025-11-28 14:00:00,short,stopped out,-1.0,-3510.2816209454245,850.1228283916165,0.7564040087293745,3.9661344537814798,6.0,False
DOT/USD,london,2025-12-07 14:00:00,2025-12-07 15:00:00,short,target,4.0,9484.300240300641,735.1011354011414,0.8401296467477322,3.5708774373258336,1.0,True
DOT/USD,new_york,2026-01-06 21:00:00,2026-01-06 23:00:00,short,stopped out,-1.0,-3310.8778215922575,471.4984704577929,1.4556972784297377,2.060868042039691,2.0,False
DOT/USD,new_york,2026-01-09 18:00:00,2026-01-11 18:00:00,long,held to the cap,0.21623827009384297,216.6777742300556,375.826550020444,1.7623795599443908,1.7022439820481468,48.0,False
DOT/USD,new_york,2026-02-08 23:00:00,2026-02-09 00:00:00,short,target,4.0,9647.77258717427,1338.4408116801244,0.49604012380811136,6.0478978534416346,1.0,True
DOT/USD,new_york,2026-03-15 20:00:00,2026-03-15 22:00:00,short,stopped out,-1.0,-4191.798143865867,1155.8116165370402,0.634951748567502,4.724768467475239,2.0,False
DOT/USD,london,2026-03-31 11:00:00,2026-03-31 12:00:00,short,target,4.0,9630.848908961687,2010.0814230897133,0.3499790012599258,8.57194285714282,1.0,False
DOT/USD,new_york,2026-04-11 15:00:00,2026-04-11 16:00:00,short,stopped out,-1.0,-4508.350087859953,1309.192037578252,0.5906908991367484,5.078798411122095,1.0,False
DOT/USD,new_york,2026-05-03 02:00:00,2026-05-03 05:00:00,long,stopped out,-1.0,-6886.663753690977,3822.756206045075,0.19374343396248891,15.484395721925917,3.0,False
DOT/USD,new_york,2026-06-04 21:00:00,2026-06-05 01:00:00,long,stopped out,-1.0,-3670.615212044745,813.3075770095721,0.8492393747966946,3.532572898799223,4.0,False
DOT/USD,asia,2026-06-11 03:00:00,2026-06-11 04:00:00,long,target,4.0,9724.737470251537,1264.0192444437866,0.5253670360355144,5.710293555222606,1.0,True
DOT/USD,new_york,2026-06-19 00:00:00,2026-06-19 03:00:00,short,target,4.0,10192.993812193243,1962.731398932265,0.3742725283861858,8.015549559396218,3.0,False
DOT/USD,london,2026-06-22 18:00:00,2026-06-22 21:00:00,long,stopped out,-1.0,-4095.6932391142113,750.972121967037,1.0766239472527894,2.7864882697947317,3.0,False
