family,config,tf,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,oscillator,k,flavor,buffer_pct,stop_pct,target_pct,max_hold_h,filter_name,exit_n,setup,trigger,level,cost_bps_per_trade,clears_9bps_floor
2-oscillator-overlay,donchian20/10 + RSI 40-70 band,1h,389,14.083935833136819,33.16195372750643,54.78651039090223,-56.212244142872194,146,-6.712109261515564,36.986301369863014,-9.79967952181272,-30.828503389557397,22.0,28.61682242990654,FAIL,,,,,,,,RSI 40-70 band,10.0,,,,,
2-oscillator-overlay,donchian20/10 + RSI 35-65 band,1h,267,5.840035893666487,31.835205992509362,15.592895836089514,-56.43934565624586,106,-23.63485754822521,33.9622641509434,-25.05294900111872,-30.561993758247795,22.0,27.613941018766756,FAIL,,,,,,,,RSI 35-65 band,10.0,,,,,
2-oscillator-overlay,donchian20/10 + ALL combined (ADX>=20 & Stoch<80 & RSI40-70),1h,36,-20.66390354077511,19.444444444444446,-7.439005274679033,-26.306239011623152,16,-60.66709224171302,18.75,-9.706734758674084,-16.103963565830114,20.0,26.076923076923077,FAIL,,,,,,,,ALL combined (ADX>=20 & Stoch<80 & RSI40-70),10.0,,,,,
2-oscillator-overlay,donchian20/20 + baseline (no filter),1h,350,7.579773252509736,34.285714285714285,26.529206383784064,-72.0100848154382,119,0.4703735389409127,38.655462184873954,0.5597445113396882,-28.549033069066333,37.0,50.53518123667377,SURVIVOR,,,,,,,,baseline (no filter),20.0,,,,,
2-oscillator-overlay,donchian20/20 + ADX>=20,1h,296,7.053099260579996,33.44594594594595,20.877173811316794,-64.53051497404215,94,0.021864180977687244,38.297872340425535,0.020552330119016915,-29.53517534406092,40.0,51.733333333333334,SURVIVOR,,,,,,,,ADX>=20,20.0,,,,,
2-oscillator-overlay,donchian20/20 + ADX>=25,1h,228,15.80420648067893,34.64912280701755,36.033590775947964,-67.01827558774873,82,-33.363072251958116,30.48780487804878,-27.35771924660566,-40.89342060980722,40.0,51.770967741935486,FAIL,,,,,,,,ADX>=25,20.0,,,,,
2-oscillator-overlay,donchian20/20 + Stoch<70 (not-OB),1h,19,157.50346040485832,42.10526315789473,29.925657476923085,-20.274793535932165,6,-90.55170066219762,50.0,-5.4331020397318515,-13.704196959296985,50.0,60.8,FAIL,,,,,,,,Stoch<70 (not-OB),20.0,,,,,
2-oscillator-overlay,donchian20/20 + Stoch<80 (not-OB),1h,92,-26.273118397379616,29.347826086956523,-24.171268925589253,-60.702501822122024,29,-23.7298433523371,37.93103448275862,-6.881654572177753,-22.909683820157486,35.0,50.68595041322314,FAIL,,,,,,,,Stoch<80 (not-OB),20.0,,,,,
2-oscillator-overlay,donchian20/20 + RSI 40-70 band,1h,320,9.749447093252792,34.0625,31.198230698408903,-72.15352461133408,115,-17.970876971074183,37.391304347826086,-20.666508516735316,-29.579709620792695,39.0,50.45057471264368,FAIL,,,,,,,,RSI 40-70 band,20.0,,,,,
2-oscillator-overlay,donchian20/20 + RSI 35-65 band,1h,241,1.2004431859210147,34.024896265560166,2.8930680780696383,-75.79029910462194,92,-33.886762852689436,32.608695652173914,-31.17582182447428,-38.047470500290764,37.0,48.267267267267265,FAIL,,,,,,,,RSI 35-65 band,20.0,,,,,
