asset,symbol,split,entry_time,exit_time,direction,entry_price,exit_price,units,fees,funding,pnl,is_win
DOT,DOTUSDT,train,2024-03-01 23:00:00+00:00,2024-03-03 07:00:00+00:00,1,8.633,9.159,382.1986563527325,1.3600156987655634,8.242048669231936,191.43442887354013,True
DOT,DOTUSDT,train,2024-03-03 17:00:00+00:00,2024-03-04 18:00:00+00:00,1,9.743,9.737,358.303954548566,1.3959522069212134,5.360668890150234,-8.906444824363007,False
DOT,DOTUSDT,train,2024-03-05 08:00:00+00:00,2024-03-05 17:00:00+00:00,1,10.547,10.023,330.14591678603546,1.3582203016577499,3.007708763090765,-177.36238946063122,False
DOT,DOTUSDT,train,2024-03-05 20:00:00+00:00,2024-03-06 07:00:00+00:00,-1,8.907,9.748,371.0212860538548,1.3842804182669322,-2.0361769089834914,-311.3770050805747,False
DOT,DOTUSDT,train,2024-03-07 01:00:00+00:00,2024-03-07 11:00:00+00:00,1,10.903,10.405,274.53999723022196,1.169979652196314,0.36007293336729757,-138.25097120621422,False
DOT,DOTUSDT,train,2024-03-08 01:00:00+00:00,2024-03-08 02:00:00+00:00,1,10.613,10.415,269.0152283609626,1.1313704443948644,0.13603758617008377,-54.53242324603616,False
DOT,DOTUSDT,train,2024-03-10 14:00:00+00:00,2024-03-11 04:00:00+00:00,-1,10.203,10.365,274.4806620943703,1.1291036515914017,-1.6212342195951244,-43.973736691286376,False
DOT,DOTUSDT,train,2024-03-14 10:00:00+00:00,2024-03-14 14:00:00+00:00,1,11.898,11.256,231.68200190431781,1.072873014418515,0.9127380225702251,-150.72545625956081,False
DOT,DOTUSDT,train,2024-03-21 19:00:00+00:00,2024-03-22 06:00:00+00:00,-1,9.132,9.33,285.35118291699655,1.053630707802718,-0.36178963104088707,-57.19137529432737,False
DOT,DOTUSDT,train,2024-03-22 14:00:00+00:00,2024-03-23 02:00:00+00:00,-1,8.821,9.087,288.9281971549354,1.0348252309301165,-0.38540493378743285,-77.50432074035734,False
DOT,DOTUSDT,train,2024-03-25 15:00:00+00:00,2024-03-26 14:00:00+00:00,1,9.658,9.83,255.86366808483413,0.9972542327274494,1.373019829111791,41.63827684875241,True
