family,config,symbol,market,tf,tr_n,tr_exp,tr_win%,tr_dd%,tr_ret%,va_n,va_exp,va_win%,va_dd%,va_ret%,tr_per_yr,cadence,verdict,vol_gate,direction,trend_gate
2-meanrev,rsi2>5 short trend=with-trend vol=none,USO,USO (ETF),1d,25,188.304594207106,76.0,-15.697798496647753,47.076148551776484,9,99.87839172700498,66.66666666666666,-10.144212080279194,8.989055255430456,2.09665709944285,TOO-RARE(2.1/yr),INSUFFICIENT-SAMPLE,none,short,with-trend
2-meanrev,rsi2>5 short trend=with-trend vol=high-vol,USO,USO (ETF),1d,14,341.9189882070276,78.57142857142857,-11.630069675308997,47.868658348983864,8,49.66814446563262,62.5,-10.144212080279194,3.973451557250618,1.3566604761100793,TOO-RARE(1.4/yr),INSUFFICIENT-SAMPLE,high-vol,short,with-trend
2-meanrev,rsi2>5 short trend=with-trend vol=low-vol,USO,USO (ETF),1d,11,-4.872320206668684,72.72727272727273,-10.604026782688162,-0.5359552227335529,1,482.39272843780964,100.0,-0.18650489854703586,4.8239272843781045,0.7399966233327705,TOO-RARE(0.7/yr),INSUFFICIENT-SAMPLE,low-vol,short,with-trend
2-meanrev,zscore>2 long trend=counter-trend vol=none,USO,USO (ETF),1d,50,-98.85200241110859,52.0,-54.23949774080569,-49.42600120555429,14,-151.6488315563794,50.0,-42.49221859217702,-21.230836417893116,3.9466486577747766,TOO-RARE(3.9/yr),FAIL,none,long,counter-trend
2-meanrev,zscore>2 short trend=counter-trend vol=none,USO,USO (ETF),1d,50,3.2134712243852483,57.99999999999999,-16.40049519050166,1.6067356121926224,21,-102.29132842648873,47.61904761904761,-38.57467135833543,-21.48117896956263,4.378313354718893,TOO-RARE(4.4/yr),FAIL,none,short,counter-trend
2-meanrev,rsi2>5 long trend=counter-trend vol=none,USO,USO (ETF),1d,64,-108.86890250327167,43.75,-71.8399287482391,-69.67609760209386,14,-320.64946571460854,50.0,-56.82033907389447,-44.890925200045196,4.809978051663008,TOO-RARE(4.8/yr),FAIL,none,long,counter-trend
2-meanrev,rsi2>5 short trend=counter-trend vol=none,USO,USO (ETF),1d,69,0.8916303917624422,57.971014492753625,-25.92571004144468,0.615224970316075,27,-110.31327640254194,44.44444444444444,-35.22556538142989,-29.78458462868633,5.919972986662164,TOO-RARE(5.9/yr),FAIL,none,short,counter-trend
3a-dow,next-session-after-Monday long,CL,WTI (CL=F),1d,735,-8.111841173559588,50.06802721088436,-70.31985404329426,-59.62203262566299,244,-107.79850230960538,46.31147540983606,-237.87392361653224,-263.02834563543723,47.2114800633747,OK,FAIL,,,
3a-dow,next-session-after-Monday short,CL,WTI (CL=F),1d,735,3.9278940405966782,48.435374149659864,-51.041982941674505,28.870021198385576,244,12.304059725747903,47.950819672131146,-50.40778626626512,30.021905730824884,47.2114800633747,OK,SURVIVOR,,,
3a-dow,next-session-after-Tuesday long,CL,WTI (CL=F),1d,803,-0.22200130762103026,52.179327521793276,-59.63483122697845,-1.7826705001968701,267,24.69813767978459,53.558052434456926,-35.97982139766255,65.94402760502487,51.599881172432006,OK,FAIL,,,
3a-dow,next-session-after-Tuesday short,CL,WTI (CL=F),1d,803,-6.794164454164237,47.073474470734745,-75.22314788965842,-54.55714056693882,267,-20.948677740912178,44.19475655430712,-58.80978166453169,-55.932969568235514,51.599881172432006,OK,FAIL,,,
3a-dow,next-session-after-Wednesday long,CL,WTI (CL=F),1d,804,3.1144137745472453,52.736318407960205,-41.69079920780411,25.03988674735984,265,1.6927482265104083,53.20754716981132,-36.7385001061217,4.48578280025258,51.55165698442038,OK,SURVIVOR,,,
3a-dow,next-session-after-Wednesday short,CL,WTI (CL=F),1d,804,-7.807712667928869,46.89054726368159,-71.56578082072647,-62.774009850148104,265,-12.204155896507785,45.28301886792453,-54.370596694410835,-32.34101312574563,51.55165698442038,OK,FAIL,,,
3a-dow,next-session-after-Thursday long,CL,WTI (CL=F),1d,787,24.1541934395672,54.256670902160096,-37.40234308881885,190.0935023693939,264,-8.458006810280128,56.439393939393945,-56.96015282270361,-22.329137979139546,50.683621600211254,OK,FAIL,,,
3a-dow,next-session-after-Thursday short,CL,WTI (CL=F),1d,787,-10.630696387551628,45.23506988564168,-87.87058974916188,-83.66358057003131,264,-4.191383933763428,42.42424242424242,-54.655599589778035,-11.065253585135448,50.683621600211254,OK,FAIL,,,
3a-dow,next-session-after-Friday long,CL,WTI (CL=F),1d,774,-8.181813893319953,47.02842377260982,-76.83099272220501,-63.32723953429644,260,-61.31044847093448,43.07692307692308,-214.19587877097243,-159.4071660244296,49.86381040401373,OK,FAIL,,,
3a-dow,next-session-after-Friday short,CL,WTI (CL=F),1d,774,3.0274952934253396,52.19638242894057,-51.62505374765397,23.43281357111213,260,67.29468422745828,51.92307692307693,-54.015539493896625,174.96617899139147,49.86381040401373,OK,SURVIVOR,,,
3a-dow,next-session-after-Monday long,BZ,Brent (BZ=F),1d,532,-4.633599512732853,49.62406015037594,-44.274935443789495,-24.650749407738783,177,12.258254759468965,53.10734463276836,-32.283959737666706,21.697110924260077,46.575944244604315,OK,FAIL,,,
3a-dow,next-session-after-Monday short,BZ,Brent (BZ=F),1d,532,-2.270815827126499,49.24812030075188,-39.99567536327183,-12.080740200312977,177,-21.44991482897593,46.32768361581921,-49.68899922642933,-37.966349247287404,46.575944244604315,OK,FAIL,,,
3a-dow,next-session-after-Tuesday long,BZ,Brent (BZ=F),1d,578,35.37873593717637,54.844290657439444,-34.96590238657148,204.4890937168794,196,5.254960681285522,54.08163265306123,-24.58707870389958,10.299722935319622,50.84595323741007,OK,SURVIVOR,,,
3a-dow,next-session-after-Tuesday short,BZ,Brent (BZ=F),1d,578,-14.04515466434914,44.29065743944637,-83.18400161989251,-81.18099395993804,196,-13.924653029185121,44.89795918367347,-41.47604328643592,-27.292319937202837,50.84595323741007,OK,FAIL,,,
3a-dow,next-session-after-Wednesday long,BZ,Brent (BZ=F),1d,585,-10.806020943488566,48.717948717948715,-71.80330778065486,-63.21522251940811,193,4.019226537307704,54.40414507772021,-22.162999266660925,7.757107217003867,51.10872302158274,OK,FAIL,,,
3a-dow,next-session-after-Wednesday short,BZ,Brent (BZ=F),1d,585,11.538134145633954,50.256410256410255,-36.35414879577647,67.49808475195864,193,-14.135202029739114,45.07772020725388,-43.062239037151116,-27.280939917396484,51.10872302158274,OK,FAIL,,,
3a-dow,next-session-after-Thursday long,BZ,Brent (BZ=F),1d,568,3.0759689191785244,50.0,-35.786940733876285,17.471503460934024,191,4.321317464304296,54.973821989528794,-43.561164896393606,8.253716356821194,49.86056654676259,OK,SURVIVOR,,,
3a-dow,next-session-after-Thursday short,BZ,Brent (BZ=F),1d,568,-8.268268496712047,48.41549295774648,-54.9673405325112,-46.96376506132442,191,-14.751695316925513,45.0261780104712,-45.38217609784308,-28.175738055327727,49.86056654676259,OK,FAIL,,,
3a-dow,next-session-after-Friday long,BZ,Brent (BZ=F),1d,571,-9.413261182078154,47.285464098073554,-66.12964804421276,-53.74972134966627,187,-11.78151397683068,52.94117647058824,-45.666284682072366,-22.031431136673373,49.794874100719426,OK,FAIL,,,
3a-dow,next-session-after-Friday short,BZ,Brent (BZ=F),1d,571,6.522403783012971,52.364273204903675,-54.34117255018302,37.24292560100406,187,-0.35610323092664586,47.05882352941176,-46.72335802280166,-0.665913041832833,49.794874100719426,OK,FAIL,,,
