section,asset,tf,fade_type,break_direction,trade_direction,age_cutoff,touch_cutoff,bucket,split,n_trades,expectancy,trades_per_year,win_rate_pct,random_pctl
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,100,1,STRUCTURAL,train,175,-34.52011422180422,46.08,51.42857142857142,17.0
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,100,2,STRUCTURAL,train,157,-34.92402327480883,41.34,52.86624203821656,18.5
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,100,3,STRUCTURAL,train,137,-41.082122740138296,36.07,51.82481751824818,11.5
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,200,1,STRUCTURAL,train,116,-43.11049837870292,30.54,51.724137931034484,14.499999999999998
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,200,2,STRUCTURAL,train,103,-37.54373045069741,27.12,54.36893203883495,25.0
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,200,3,STRUCTURAL,train,91,-45.27088970861383,23.96,53.84615384615385,16.5
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,500,1,STRUCTURAL,train,62,-54.7346229599206,16.32,50.0,14.000000000000002
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,500,2,STRUCTURAL,train,56,-40.261796708600095,14.74,53.57142857142857,35.0
fade_sweep_random_baseline,BTC,1h,fade_breakout_mirror,long,short,500,3,STRUCTURAL,train,48,-36.80685792141575,12.64,56.25,39.5
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,20,1,STRUCTURAL,train,95,83.29083590175497,25.04,58.94736842105262,62.5
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,20,2,STRUCTURAL,train,86,78.19293377987962,22.66,60.46511627906976,57.49999999999999
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,20,3,STRUCTURAL,train,78,142.23488624050455,20.56,61.53846153846154,77.0
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,50,1,STRUCTURAL,train,59,111.71977907856743,15.55,59.32203389830508,69.5
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,50,2,STRUCTURAL,train,55,152.1855190202113,14.49,61.81818181818181,80.0
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,50,3,STRUCTURAL,train,49,119.24433389081791,12.91,59.183673469387756,70.5
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,100,1,STRUCTURAL,train,37,92.09051910185957,9.75,54.054054054054056,63.0
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,100,2,STRUCTURAL,train,36,130.7235647598453,9.49,58.333333333333336,73.5
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,100,3,STRUCTURAL,train,32,68.20623855752416,8.43,56.25,56.00000000000001
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,200,1,STRUCTURAL,train,27,104.1581349409794,7.12,59.25925925925925,
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,200,2,STRUCTURAL,train,24,93.62753277469695,6.32,62.5,
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,200,3,STRUCTURAL,train,23,129.67684572890263,6.06,65.21739130434783,
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,500,1,STRUCTURAL,train,12,80.03607066921313,3.16,58.333333333333336,
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,500,2,STRUCTURAL,train,10,189.67994350379868,2.64,70.0,
fade_sweep_random_baseline,BTC,4h,fade_breakdown,short,long,500,3,STRUCTURAL,train,10,189.67994350379868,2.64,70.0,
fade_sweep_random_baseline,BTC,4h,fade_breakout_mirror,long,short,20,1,STRUCTURAL,train,108,-74.86962060974683,28.46,47.22222222222222,33.5
fade_sweep_random_baseline,BTC,4h,fade_breakout_mirror,long,short,20,2,STRUCTURAL,train,93,-80.73242568030707,24.51,47.31182795698925,40.5
fade_sweep_random_baseline,BTC,4h,fade_breakout_mirror,long,short,20,3,STRUCTURAL,train,77,-99.67230179103029,20.29,42.857142857142854,24.0
fade_sweep_random_baseline,BTC,4h,fade_breakout_mirror,long,short,50,1,STRUCTURAL,train,60,-88.67300689533293,15.81,48.333333333333336,38.5
