#,when,market,symbol,dir,level_swept,level_price,swept_at,confirmed_by,pullback_to,entry,stop,stop_move_pct_of_price,position_$,margin_$,leverage_x,targets,targets_hit,exit,exit_at,held,outcome,pl_$,pl_pct_of_margin,equity_after_$
79,Wed 22 Jul 02:55,crypto,DOT/USD,SHORT,1h,0.855045,22 Jul 02:15,5-minute break of structure,the midpoint,0.8535,0.857252,0.44,15886.88,232.81,68.2,0.848 / 0.846696 / 0.845247 / 0.84295,1,0.8535,22 Jul 04:07,0 days 01:12:00,stopped at break even,5.62,2.4,2333.68
80,Wed 22 Jul 04:34,crypto,BTC/USD,LONG,1h,66160.8405,22 Jul 04:00,5-minute close back through the price the sweep leg started from,the midpoint,66341.615,66040.744901,0.454,15437.25,233.37,66.1,66716.5 / 66765.2 / 66898.4 / 66933.6,0,66040.744901,22 Jul 05:22,0 days 00:48:00,stopped out,-40.16,-17.2,2293.52
81,Wed 22 Jul 09:56,crypto,ETH/USD,LONG,4h,1914.909441,22 Jul 06:20,5-minute break of structure,a fair value gap,1922.53,1907.752736,0.769,8951.64,229.35,39.0,1942.2 / 1944.01 / 1946 / 1950.48,4,1950.4755,22 Jul 14:05,0 days 04:09:00,all 4 targets reached,70.39,30.7,2363.91
82,Wed 22 Jul 09:56,gold,GLD,LONG,1h,377.33,22 Jul 08:55,a 5-minute break of structure that printed before the bell,the midpoint,380.5,376.659215,1.009,7025.67,236.39,29.7,none,0,378.995,22 Jul 15:55,0 days 05:59:00,flat by the close,-28.73,-12.2,2335.19
83,Wed 22 Jul 10:19,crypto,XRP/USD,LONG,1h,1.137,22 Jul 05:30,5-minute break of structure,the midpoint,1.1347,1.126495,0.723,9688.13,233.52,41.5,1.15445 / 1.165,1,1.1347,22 Jul 20:06,0 days 09:47:00,stopped at break even,51.92,22.2,2387.11
84,Wed 22 Jul 11:47,crypto,LINK/USD,LONG,4h,8.598,22 Jul 07:35,5-minute break of structure,the midpoint and a fair value gap,8.62523,8.560795,0.747,9586.05,238.71,40.2,8.73986 / 8.75188,2,8.751875,22 Jul 14:06,0 days 02:19:00,all 2 targets reached,90.72,38.0,2477.83
85,Thu 23 Jul 03:04,crypto,DOT/USD,SHORT,15m,0.83732,23 Jul 00:05,5-minute break of structure,the midpoint,0.829315,0.843553,1.717,4329.69,247.78,17.5,0.80965 / 0.807785 / 0.805219 / 0.80363,2,0.81448,23 Jul 23:55,0 days 20:51:00,flat by the close,85.42,34.5,2563.25
86,Thu 23 Jul 05:29,crypto,ETH/USD,LONG,4h,1919.843,23 Jul 03:45,5-minute break of structure,the midpoint,1924.43,1915.110446,0.484,15878.83,256.32,61.9,1939.65 / 1945.02 / 1946.15 / 1955.39,0,1915.110446,23 Jul 07:12,0 days 01:43:00,stopped out,-46.51,-18.1,2516.74
87,Thu 23 Jul 05:30,crypto,XRP/USD,LONG,4h,1.13375,23 Jul 03:20,5-minute break of structure,the midpoint,1.13648,1.130613,0.516,14624.31,251.67,58.1,1.144 / 1.1446 / 1.147 / 1.15034,0,1.130613,23 Jul 07:11,0 days 01:41:00,stopped out,-48.73,-19.4,2468.01
88,Thu 23 Jul 06:40,crypto,BTC/USD,LONG,4h,65659.8235,23 Jul 05:55,5-minute break of structure,the midpoint,65726.332,65509.379697,0.33,22430.71,246.8,90.9,66290.7 / 66367.2 / 66443 / 66566,0,65509.379697,23 Jul 07:11,0 days 00:31:00,stopped out,-33.34,-13.5,2434.67
