family,indicator,tf,eye_direction,eye_state,eye_tr_n,eye_tr_exp,eye_va_n,eye_va_exp,eye_va_win_pct,eye_va_ret_pct,eye_verdict,ungated_tr_n,ungated_tr_exp,ungated_va_n,ungated_va_exp,ungated_verdict,atr_gate_dir,atr_tr_n,atr_tr_exp,atr_va_n,atr_va_exp,control_n_draws,control_mean_va_exp,control_median_va_exp,control_pct_beat_eye,control_pct_beat_ungated
trend,MACD histogram 0-cross,15m,long,transition|at range high|clean|expanding,150,10.4011,51,-2.1438,39.22,-1.09,FAIL,10445,-0.9512,3627,-2.5227,FAIL,below,1195,-5.312692036189101,327,-3.141260885832271,20,2.2192950000000007,-2.06105,0.5,0.5
trend,MACD histogram 0-cross,1h,long,uptrend|pulling back in trend|messy|expanding,27,88.2522,4,147.5053,75.0,5.9,UNRELIABLE,2509,1.0477,843,-3.8654,FAIL,above,329,0.7123489122117141,168,11.996375154511085,20,-36.6963,-39.26205,0.0,0.25
trend,MACD line/signal cross,15m,long,transition|at range high|clean|expanding,150,10.4011,51,-2.1438,39.22,-1.09,FAIL,10445,-0.9512,3627,-2.5227,FAIL,below,1195,-5.312692036189101,327,-3.141260885832271,20,-6.87333,-7.4307,0.3,0.3
trend,MACD line/signal cross,1h,long,uptrend|pulling back in trend|messy|expanding,27,88.2522,4,147.5053,75.0,5.9,UNRELIABLE,2509,1.0477,843,-3.8654,FAIL,above,329,0.7123489122117141,168,11.996375154511085,20,-13.738980000000002,-17.0956,0.0,0.3
trend,Parabolic SAR,15m,long,uptrend|pulling back in trend|clean|contracting,22,16.6158,8,-38.5396,12.5,-3.08,FAIL,10110,-0.9746,3815,-2.2284,FAIL,below,1223,-4.164945673915012,358,-3.2307272777660216,20,-4.93011,-9.018699999999999,1.0,0.35
trend,Parabolic SAR,1h,long,downtrend|at range high|messy|expanding,48,34.0074,11,-0.5,36.36,-0.06,FAIL,2512,-3.1938,898,-3.9102,FAIL,below,482,-6.257205185035211,111,-15.64677073288748,20,3.753564999999999,6.68945,0.55,0.55
trend,SMA cross,15m,long,downtrend|pulling back in trend|clean|expanding,37,25.2523,7,22.2098,57.14,1.55,UNRELIABLE,5702,-1.7154,1817,-2.4621,FAIL,below,1031,-6.065214253134415,261,-7.241925775090115,20,-5.1842749999999995,-4.2292,0.0,0.45
trend,SMA cross,1h,short,downtrend|pulling back in trend|messy|expanding,22,36.6153,3,12.5528,66.67,0.38,UNRELIABLE,1334,29.6393,461,-7.5452,FAIL,below,336,20.352013092940382,83,-23.20037382226625,20,-6.12878,-2.7821,0.2,0.55
trend,SuperTrend,15m,short,downtrend|at range low|messy|contracting,22,19.7883,1,-65.1572,0.0,-0.65,UNRELIABLE,3160,-0.9444,986,-2.0747,FAIL,below,698,-5.961784893910589,174,-10.7292880204829,20,6.78152,2.4084000000000003,1.0,0.65
trend,SuperTrend,1h,short,uptrend|at range low|messy|expanding,25,15.1171,10,52.8555,50.0,5.29,SURVIVOR,729,-7.6876,254,-19.6468,FAIL,below,176,4.756996795919608,43,-1.6489158507517225,0,,,,
trend,TEMA cross,15m,long,uptrend|at range high|clean|contracting,30,23.5648,12,4.6787,41.67,0.56,SURVIVOR,11120,-0.8912,3883,-2.3835,FAIL,below,1218,-5.773651480432303,349,-1.5684500684950877,20,-16.88044,-18.4149,0.1,0.15
trend,TEMA cross,1h,long,downtrend|pulling back in trend|messy|expanding,109,69.4721,29,10.2704,44.83,2.98,SURVIVOR,2676,7.3592,895,3.7605,SURVIVOR,below,473,5.758246048497801,111,-3.791314654971388,20,1.7488250000000005,-18.8617,0.25,0.3
trend,TRIX 0-cross,15m,short,uptrend|pulling back in trend|clean|contracting,21,18.0544,2,-64.5484,0.0,-1.29,UNRELIABLE,3444,-1.328,1079,-2.5311,FAIL,below,781,-6.863280198639365,191,-3.6188512976374656,20,-11.133995000000002,-11.99775,1.0,0.35
trend,TRIX 0-cross,1h,short,downtrend|pulling back in trend|messy|contracting,20,54.4472,5,40.742,40.0,2.04,UNRELIABLE,815,-4.4524,271,-5.0257,FAIL,below,217,7.195584328799023,54,-6.961957584867479,20,2.5787300000000015,-11.7588,0.2,0.35
