tool,cell,tr_n,tr_exp,va_n,va_exp,verdict
T4-donchian20-1h,trending-down×normal×london,21,63.170347077362486,12,-68.9516594067477,FADED
T4-donchian20-1h,trending-down×normal×newyork,31,-2.3924244919529767,0,,COLD
T4-donchian20-1h,trending-down×normal×off-hours,13,37.80856931521115,0,,UNRELIABLE
T4-donchian20-1h,trending-down×normal×weekend,19,-70.54270490794461,0,,COLD
T4-donchian20-1h,trending-down×violent×asia,6,-11.24986305391576,0,,UNRELIABLE
T4-donchian20-1h,trending-down×violent×london,9,-50.324017191965446,0,,UNRELIABLE
T4-donchian20-1h,trending-down×violent×newyork,11,-94.54359046224239,0,,UNRELIABLE
T4-donchian20-1h,trending-down×violent×off-hours,2,51.67414822120645,0,,UNRELIABLE
T4-donchian20-1h,trending-down×violent×weekend,7,-127.05276350169672,0,,UNRELIABLE
T4-donchian20-1h,ranging×quiet×asia,9,72.7231094508849,0,,UNRELIABLE
T4-donchian20-1h,ranging×quiet×london,11,31.44014327728953,0,,UNRELIABLE
T4-donchian20-1h,ranging×quiet×newyork,13,36.488052455883846,0,,UNRELIABLE
T4-donchian20-1h,ranging×quiet×off-hours,7,-29.623174581935018,0,,UNRELIABLE
T4-donchian20-1h,ranging×quiet×weekend,25,13.952638036379286,5,87.99474671150419,THIN-VAL
T4-donchian20-1h,ranging×normal×asia,36,-11.28955612711828,0,,COLD
T4-donchian20-1h,ranging×normal×london,28,11.069492115036544,8,51.463670904006676,HOT
T4-donchian20-1h,ranging×normal×newyork,47,94.34429084781561,15,93.10806394795715,HOT
T4-donchian20-1h,ranging×normal×off-hours,18,9.830544245026935,7,37.717741963037824,THIN-VAL
T4-donchian20-1h,ranging×normal×weekend,25,-30.261697855029052,0,,COLD
T4-donchian20-1h,ranging×violent×asia,9,74.63336274292345,0,,UNRELIABLE
T4-donchian20-1h,ranging×violent×london,7,25.29343127159934,0,,UNRELIABLE
T4-donchian20-1h,ranging×violent×newyork,9,74.01627210037057,0,,UNRELIABLE
T4-donchian20-1h,ranging×violent×off-hours,9,-49.54955137947258,0,,UNRELIABLE
T4-donchian20-1h,ranging×violent×weekend,1,-132.7859349530845,0,,UNRELIABLE
T4-donchian20-1h,crowded-long×violent,14,-2.7279619802701354,0,,UNRELIABLE
T4-donchian20-1h,crowded-short×violent,9,-48.78872494736687,0,,UNRELIABLE
T4-donchian20-1h,neutral-crowd×violent,30,-10.461400221741679,0,,COLD
T4-donchian20-1h,news-hot(13mo-span),0,0.0,0,,UNRELIABLE
T4-donchian20-1h,ALL-violent,39,-0.9695423444672298,0,,COLD
T4-donchian20-1h,session=asia,78,-1.651711581660796,0,,COLD
T4-donchian20-1h,session=london,76,28.012640489136867,28,-2.8257056728554875,FADED
T4-donchian20-1h,session=newyork,97,19.341841479643243,37,-40.78919105805505,FADED
T4-donchian20-1h,session=off-hours,53,-38.500976174902064,0,,COLD
T4-donchian20-1h,session=weekend,82,-27.340704466369072,0,,COLD
T4-donchian20-1h,crowd=crowded-long,28,-5.96177631116169,0,,COLD
T4-donchian20-1h,crowd=crowded-short,36,58.03994126968554,6,-9.656283144995541,THIN-VAL
T4-donchian20-1h,crowd=neutral,114,1.897388220684007,40,-53.565517798348836,FADED
T4-donchian20-1h,vol=quiet,50,12.843029873789238,12,-11.036148868705368,FADED
T4-donchian20-1h,vol=normal,104,28.832741074275052,39,-28.65943624157915,FADED
T4-donchian20-1h,vol=violent,39,-0.9695423444672298,0,,COLD
T4-donchian20-1h,trend=trending-up,58,18.510487032921006,20,-41.06163051813146,FADED
T4-donchian20-1h,trend=trending-down,49,-55.929150273229965,0,,COLD
T4-donchian20-1h,trend=ranging,82,20.355952324415806,24,3.638704444307374,HOT
