family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,trades_yr,verdict,mean_ret_pct,tstat,win_pct
3a-bos-choch,k=5 struct=wick mode=choch R2.5,ES,1h,0.8933092480480237,2.2332731201200593,171,-6.946205087869037,43.859649122807014,-11.878010700256059,-12.752566996339409,63.0,1.7484476846156112,55.55555555555556,1.1015220413078453,-4.141709127156663,13.0,18.00854700854701,122.0833234138793,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=both R1.5,ES,1h,0.8503478695830112,1.275521804374517,306,-4.6327866162699705,45.09803921568628,-14.176327045786108,-16.492322964998678,111.0,-7.139036607399199,45.04504504504504,-7.924330634213106,-9.3170891772435,13.0,17.164268585131893,217.5587430067849,FAIL,,,
3a-bos-choch,k=5 struct=wick mode=both R2.5,ES,1h,0.8503478695830112,2.1258696739575282,306,-4.737771587723377,44.11764705882353,-14.497581058433529,-16.920570249602815,111.0,-7.027823574817195,45.04504504504504,-7.800884168047084,-9.31708917724326,13.0,17.47841726618705,217.5587430067849,FAIL,,,
3a-bos-choch,k=5 struct=body mode=cont R1.5,ES,1h,0.6422792923234246,0.9634189384851369,219,-2.1249656476701846,44.29223744292237,-4.653674768397709,-8.055336518637827,75.0,-1.936161748002099,48.0,-1.4521213110015752,-5.501494616160609,12.0,15.358843537414966,153.38673967384835,FAIL,,,
3a-bos-choch,k=5 struct=body mode=cont R2.5,ES,1h,0.6422792923234246,1.6056982308085614,219,-3.514579521588314,42.465753424657535,-7.696929152278409,-9.608397645869724,75.0,-6.173996063431817,44.0,-4.630497047573867,-6.979768640904583,13.0,16.302721088435373,153.38673967384835,FAIL,,,
3a-bos-choch,k=5 struct=body mode=choch R1.5,ES,1h,0.5615942028985508,0.8423913043478262,216,-4.5973712471544435,43.51851851851852,-9.9303218938536,-10.331435383237853,73.0,2.3526088946721395,50.68493150684932,1.7174044931106636,-3.853088304582976,12.0,13.124567474048442,150.77812165218427,FAIL,,,
3a-bos-choch,k=5 struct=body mode=choch R2.5,ES,1h,0.5615942028985508,1.403985507246377,216,-6.384391982863572,41.2037037037037,-13.79028668298532,-14.112881889831282,73.0,0.13715468437558603,49.31506849315068,0.10012291959418107,-5.196574301011955,12.0,14.45847750865052,150.77812165218427,FAIL,,,
3a-bos-choch,k=5 struct=body mode=both R1.5,ES,1h,0.5859618501433737,0.8789427752150605,348,-4.2642406671078446,43.39080459770115,-14.839557521535296,-15.445592602116811,117.0,0.07416867381478866,49.572649572649574,0.08677734836330941,-5.427823215071305,12.0,13.620430107526882,242.60147601476015,FAIL,,,
3a-bos-choch,k=5 struct=body mode=both R2.5,ES,1h,0.5859618501433737,1.4649046253584341,348,-5.380949391534439,41.37931034482759,-18.725703882539847,-19.564021180744895,117.0,-4.5701451164207585,46.15384615384615,-5.3470697862122885,-8.993846891746724,12.0,14.901075268817204,242.60147601476015,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=cont R1.5,ES,1h,0.9855615236781156,1.4783422855171733,148,2.920616114912669,50.67567567567568,4.322511850070754,-4.401258571422931,54.0,-11.689240991421752,42.592592592592595,-6.312190135367746,-8.686661024340756,13.0,17.955445544554454,105.38816807522915,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=cont R2.5,ES,1h,0.9855615236781156,2.4639038091952887,148,0.8654605598541968,50.67567567567568,1.2808816285842184,-4.617714971139417,54.0,-11.689240991421752,42.592592592592595,-6.312190135367746,-8.686661024340756,13.0,18.237623762376238,105.38816807522915,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=choch R1.5,ES,1h,1.0675290977457008,1.6012936466185512,114,-9.431253115372959,42.98245614035088,-10.751628551525172,-11.864197953481561,45.0,1.4688938943720131,55.55555555555556,0.6610022524674131,-2.8942556570477085,13.0,17.867924528301888,82.95405308891799,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=choch R2.5,ES,1h,1.0675290977457008,2.668822744364252,114,-9.562862539764609,42.98245614035088,-10.901663295331653,-12.012362365510853,45.0,3.8194572647868172,55.55555555555556,1.718755769154079,-2.8942556570477276,13.0,17.91823899371069,82.95405308891799,FAIL,,,
3a-bos-choch,k=8 struct=wick mode=both R1.5,ES,1h,1.0271595798824782,1.5407393698237173,237,-3.8889470400218182,45.56962025316456,-9.216804484851703,-12.529885853766864,90.0,-7.311087199460053,45.55555555555556,-6.579978479514049,-8.41073663460104,13.0,18.24770642201835,170.60361861683134,FAIL,,,
