name,n_tr,n_va,mean_tr,mean_va,R_tr,R_va,win_tr,stop_tr,lev_at_1pct,thick_x,verdict,extra
"OR60 break short, stop at 2-candle swing",846,296,-0.048640476338269234,-0.07657645388306145,-0.24987155612721712,-0.2601548765414747,30.260047281323878,0.3332717444138253,3.000554402710764,-1.216011908456731,reject,
"sweep prev day low -> BOS long 09:30-10:30, hold to close",312,117,-0.06778790779772405,0.0016025158169351884,-0.34844215231268855,0.052208075499232634,30.448717948717945,0.38025535524092247,2.629811746810033,-1.6946976949431012,reject,
"sweep prev day low -> BOS long 09:30-10:30, target 1R",312,117,-0.05362284740839683,-0.06086172262402973,-0.25486726460785913,-0.38205352674896104,45.83333333333333,0.38025535524092247,2.629811746810033,-1.3405711852099207,reject,
"sweep prev day low -> BOS long 09:30-10:30, target 2R",312,117,-0.07439493273174587,-0.0765138120063473,-0.3177920986487902,-0.3534161847989212,34.294871794871796,0.38025535524092247,2.629811746810033,-1.8598733182936467,reject,
"sweep prev day low -> BOS long 09:30-10:30, target 3R",312,117,-0.06871477564031986,-0.05672826757563435,-0.3158362744128586,-0.2959506389975656,32.05128205128205,0.38025535524092247,2.629811746810033,-1.7178693910079965,reject,
"sweep prev day low -> BOS long 09:30-12:00, hold to close",1094,399,-0.04564656728634063,-0.021816652550546718,-0.3225781157388363,-0.18058816845095485,29.70749542961609,0.3080160872268022,3.246583673610748,-1.1411641821585157,reject,
"sweep prev day low -> BOS long 09:30-12:00, target 1R",1094,399,-0.04318168869378959,-0.024931462376846077,-0.39358232582232144,-0.3949839272430335,44.515539305301644,0.3080160872268022,3.246583673610748,-1.0795422173447398,reject,
"sweep prev day low -> BOS long 09:30-12:00, target 2R",1094,399,-0.05264166781752435,-0.05182120696841753,-0.3779841723201756,-0.4198236283643165,34.46069469835466,0.3080160872268022,3.246583673610748,-1.3160416954381087,reject,
"sweep prev day low -> BOS long 09:30-12:00, target 3R",1094,399,-0.04486734929818682,-0.05400861587156342,-0.35935463947172613,-0.40963700617615867,31.992687385740403,0.3080160872268022,3.246583673610748,-1.1216837324546705,reject,
"sweep prev day low -> BOS long all session, hold to close",3306,1235,-0.03985306065940924,-0.038570101271677766,-0.3508587278658993,-0.19959474024850854,31.397459165154263,0.2594446531696075,3.8543866207420625,-0.996326516485231,reject,
"sweep prev day low -> BOS long all session, target 1R",3306,1235,-0.04550520925353552,-0.039326387974773676,-0.4392810496950563,-0.3749067257868905,44.1016333938294,0.2594446531696075,3.8543866207420625,-1.137630231338388,reject,
"sweep prev day low -> BOS long all session, target 2R",3306,1235,-0.046462018478397454,-0.05381031949786862,-0.3975852132706966,-0.38995701897022267,36.50937689050212,0.2594446531696075,3.8543866207420625,-1.1615504619599364,reject,
"sweep prev day low -> BOS long all session, target 3R",3306,1235,-0.04066542534420861,-0.050328119321980475,-0.3701666860123942,-0.3589084243384755,34.05928614640049,0.2594446531696075,3.8543866207420625,-1.0166356336052154,reject,
"sweep prev day high -> BOS short 09:30-10:30, hold to close",475,135,-0.03314196694346022,0.10108536005876904,-0.4097865957128162,0.3599929585982927,26.31578947368421,0.2533817267431771,3.9466145126305063,-0.8285491735865055,reject,
"sweep prev day high -> BOS short 09:30-10:30, target 1R",475,135,-0.03132272276701777,-0.008213690004075257,-0.32046706104896777,-0.14673131562107564,48.421052631578945,0.2533817267431771,3.9466145126305063,-0.7830680691754444,reject,
"sweep prev day high -> BOS short 09:30-10:30, target 2R",475,135,-0.04121506653648039,0.025100612304620254,-0.3683363414125322,-0.0030254869583426296,33.26315789473684,0.2533817267431771,3.9466145126305063,-1.0303766634120097,reject,
"sweep prev day high -> BOS short 09:30-10:30, target 3R",475,135,-0.03346275187618418,0.05421953760648731,-0.344374128552803,0.10368344195204224,29.68421052631579,0.2533817267431771,3.9466145126305063,-0.8365687969046045,reject,
"sweep prev day high -> BOS short 09:30-12:00, hold to close",1475,466,-0.04719165319400352,-0.025147044178178438,-0.5208921494506048,-0.1193961614573693,23.728813559322035,0.20021125831341008,4.994724115037543,-1.179791329850088,reject,
"sweep prev day high -> BOS short 09:30-12:00, target 1R",1475,466,-0.04422822694866332,-0.029127548103086386,-0.4873423942267381,-0.3147320762767946,45.152542372881356,0.20021125831341008,4.994724115037543,-1.105705673716583,reject,
"sweep prev day high -> BOS short 09:30-12:00, target 2R",1475,466,-0.04688969883606189,-0.03175440018581105,-0.480218661167894,-0.2839353451140616,32.271186440677965,0.20021125831341008,4.994724115037543,-1.172242470901547,reject,
"sweep prev day high -> BOS short 09:30-12:00, target 3R",1475,466,-0.04553443823944111,-0.026589100404460324,-0.471548112755214,-0.2839585729033903,27.661016949152543,0.20021125831341008,4.994724115037543,-1.1383609559860277,reject,
"sweep prev day high -> BOS short all session, hold to close",4400,1304,-0.044951746284480766,-0.022274929526706882,-1.0214960333624103,-0.13079297031376916,23.522727272727273,0.15930690940939765,6.277191640383484,-1.123793657112019,reject,
"sweep prev day high -> BOS short all session, target 1R",4400,1304,-0.041455381307920064,-0.04429165982911604,-0.9978937511608497,-0.5838493933698023,40.68181818181818,0.15930690940939765,6.277191640383484,-1.0363845326980017,reject,
"sweep prev day high -> BOS short all session, target 2R",4400,1304,-0.043918523637279015,-0.050456714627392735,-1.0085958183165282,-0.5724971873090363,30.38636363636364,0.15930690940939765,6.277191640383484,-1.0979630909319753,reject,
